nx ny nz
0.012100047 -0.388342239 0.921435779
-0.328580587 0.727302548 0.602549419
0.205461368 -0.595379292 0.776729763
0.793668491 -0.012030905 -0.608231521
0.953870409 0.107329200 0.280377756
0.609283509 0.443910494 0.657051809
0.518513089 0.831347852 -0.200012316
-0.702425549 0.577477704 0.416074332
-0.254067109 0.799966027 -0.543603035
-0.688715974 -0.559288429 -0.461374859
0.544416843 0.408157025 0.732815219
0.309062263 -0.621425403 -0.719938182
0.474165480 0.875384399 -0.094176698
-0.693000746 -0.353347067 -0.628407365
0.383235376 -0.573073982 -0.724373424
-0.437641781 -0.088160029 -0.894817009
-0.256768818 0.887176159 -0.383390450
-0.857976924 -0.445288100 0.256113463
-0.753605496 0.633243315 -0.176299915
-0.460655365 0.719505755 -0.519719254
0.420319285 -0.783873820 -0.457026841
0.629079014 -0.083465716 0.772847377
-0.863608635 -0.499856194 -0.065756445
-0.781536923 0.002028282 -0.623855692
-0.415286128 -0.790212439 0.450668097
-0.860961657 0.299417632 -0.411210539
0.585496520 -0.773857501 0.241533421
0.422558289 0.652765041 -0.628762510
0.723586880 0.496152601 0.479848543
-0.612611555 0.655407218 0.441756110
0.632262458 0.224018600 -0.741660199
0.668486224 0.647856173 0.365251350
0.591099209 -0.797647316 0.119835242
-0.329508072 0.933220806 -0.143259758
0.325855055 0.744974090 -0.582092852
0.108288646 0.838716121 -0.533693580
0.858564474 -0.218858662 0.463646341
-0.598658230 0.450463512 0.662337488
0.265580944 -0.853448378 -0.448433527
-0.252467396 0.060263202 -0.965726960
-0.381011627 -0.906469196 0.182054212
-0.349709511 -0.518702227 0.780161046
-0.841105093 0.353866895 0.409048215
-0.451398663 -0.874675650 -0.176583562
0.233088144 0.003347028 -0.972449852
-0.603993019 0.218217014 -0.766533605
-0.855828433 0.057296942 0.514076602
0.321154639 0.649436814 -0.689268832
0.701571776 -0.472148027 -0.533735219
-0.282903758 0.608124290 0.741721182
0.072849753 0.780790557 -0.620531240
-0.998962104 0.017587796 0.042016478
-0.516697011 -0.797542921 -0.311367127
-0.718663195 0.683909549 -0.125662010
-0.482177158 0.355290015 -0.800795975
0.445333401 0.527615015 -0.723395161
-0.984371125 -0.091608459 -0.150404051
0.780843945 0.380813748 -0.495240974
-0.872175842 0.286887719 -0.396238234
-0.684299171 0.460550636 -0.565356309
-0.582539582 -0.716154427 0.384409251
-0.196565979 -0.593566954 0.780410205
0.903343912 0.103556879 -0.416228001
0.787332593 0.601009143 0.137460533
-0.786764802 0.434149533 0.438765689
0.616232992 -0.431149723 0.659065107
-0.394288884 -0.626779941 -0.672073792
-0.287774804 -0.909297634 0.300605183
0.585591382 0.606299282 0.538037094
-0.519882979 0.336463158 -0.785184202
0.738813631 -0.589169532 -0.327160023
-0.550122982 -0.483742895 0.680703692
0.861356532 -0.419260827 0.286854116
-0.657052594 -0.112491499 -0.745404287
-0.377967609 0.609846994 -0.696582465
0.203463819 -0.841930217 0.499755925
-0.477900653 -0.870413507 0.118284795
-0.910534639 0.382090353 -0.157903874
0.562268603 -0.183929758 0.806240573
0.226762174 0.679800060 -0.697460246
0.558327982 0.633744823 -0.535385249
-0.000682223 0.782841702 0.622220543
-0.970253752 -0.221112344 -0.098574786
0.226928820 0.968791166 0.099734588
-0.402585828 -0.157638085 -0.901706651
-0.981147311 -0.011472347 0.192920551
0.458669640 -0.810180290 -0.365006930
0.731320292 0.055671089 -0.679758311
0.721210682 -0.542999336 0.430124252
-0.702944005 0.652113111 -0.283933471
-0.532106114 -0.445069892 0.720260976
-0.603152655 0.791433715 -0.099194498
0.357217677 0.811994947 0.461583944
-0.878586661 0.239143881 0.413395312
0.338743571 -0.356762036 0.870616817
0.811138949 -0.540165994 0.224219322
0.656491132 0.301809072 0.691325305
0.837697727 -0.487455574 0.246271359
0.088662873 0.015140933 0.995946609
-0.607203295 0.309943434 -0.731600456
0.674672383 -0.246804088 -0.695632746
0.698079168 -0.714753691 0.042575063
-0.284781647 0.488872343 -0.824562457
-0.359808516 -0.067583064 0.930575285
-0.575775524 -0.598822816 -0.556681041
-0.768113469 0.528393604 -0.361665451
0.227901118 0.856209580 -0.463644514
-0.660803438 -0.686811712 0.302701979
-0.512693571 0.511720416 -0.689410994
-0.809221725 0.480243166 0.338417938
-0.162811687 -0.233417146 -0.958649462
0.650376353 0.722465178 0.234637305
0.782796541 -0.059086748 0.619466167
-0.229431519 0.815977044 0.530605919
-0.471963644 0.751661523 -0.460711703
-0.666863078 0.729859368 0.150329429
-0.350877855 -0.765444891 -0.539424554
-0.795049015 -0.339454519 0.502660614
-0.693019174 0.610306210 -0.383732662
-0.744518372 0.004675345 0.667585601
0.533392261 -0.374730295 -0.758333635
-0.357894889 -0.599929018 0.715539252
0.370195858 0.905879785 -0.205759183
-0.615124167 -0.436971148 -0.656260981
-0.437556383 0.489237846 -0.754447309
0.897820287 -0.109415901 0.426552333
0.100567372 0.993809898 0.047202643
0.008164767 -0.630238119 0.776358969
0.310892361 -0.559092453 -0.768610154
0.796801187 -0.416579859 0.437686064
0.688429891 0.678558989 -0.256167883
0.760965719 -0.389850955 -0.518601396
-0.248868949 -0.783200090 0.569791071
0.612523295 0.424156231 0.667013272
-0.889765812 -0.363811484 0.275604795
0.542272850 -0.722124185 0.429507646
0.446651915 0.245037745 -0.860499024
-0.685412924 -0.657181691 -0.313562351
0.604385109 0.194916113 0.772480647
-0.796451088 -0.520588460 0.307657797
-0.363442025 0.915677735 -0.171593064
-0.936270103 0.021892428 0.350598082
0.292161715 -0.731179068 -0.616456571
0.179442010 0.911154587 -0.370941888
-0.919140432 0.269451732 -0.287361497
0.398976534 -0.342657823 0.850531211
0.723601207 -0.027782081 -0.689658937
-0.366868387 -0.875475728 -0.314562928
0.457015516 -0.287751838 -0.841626816
-0.909629488 0.163300707 -0.381977846
-0.877897651 0.092452745 -0.469838487
-0.033739886 -0.282481356 0.958679250
-0.265809374 0.750957382 0.604490188
-0.164792717 0.879270866 -0.446907265
-0.378342979 0.742369074 -0.552941903
-0.773890727 -0.600463825 -0.201336381
-0.704084156 -0.706244572 0.074054745
0.984454940 -0.062284274 0.164222836
-0.474451849 0.610339776 0.634334928
